ProbeID,Country Code,Violation Timeframe
1000572 , DE ," 2020-05-28 to 2020-08-13, 2020-08-27 to 2020-08-27, 2020-09-10 to 2020-09-10 "
1000609 , DE ," 2020-06-25 to 2020-08-13, 2020-08-27 to 2020-09-10, 2020-09-24 to 2020-10-22, 2021-01-15 to 2021-01-22, 2021-02-05 to 2021-08-27, 2022-04-02 to 2023-12-30 "
28190 , CL , 2020-08-20 to 2020-10-15 
53492 , US ," 2020-09-24 to 2022-06-25, 2022-10-08 to 2022-10-29, 2022-12-03 to 2022-12-24, 2023-08-05 to 2023-08-05, 2023-09-16 to 2023-09-23, 2024-01-13 to 2024-01-27, 2024-02-24 to 2024-02-24 "
1001203 , DE ," 2020-10-29 to 2020-11-05, 2020-11-26 to 2021-02-26 "
1001222 , DE , 2020-11-05 to 2020-11-12 
2293 , NL ," 2020-12-03 to 2020-12-03, 2020-12-24 to 2021-01-15 "
1001494 , HK , 2020-12-31 to 2020-12-31 
1001573 , DE ," 2020-12-31 to 2021-02-05, 2021-03-05 to 2021-03-05 "
12975 , BI , 2021-06-25 to 2021-06-25 
18587 , DE , 2021-10-29 to 2022-01-08 
1000917 , DE , 2021-02-19 to 2022-06-25 
25047 , HK ," 2021-10-22 to 2023-01-21, 2023-02-11 to 2023-02-18, 2023-03-11 to 2023-03-25, 2023-04-15 to 2023-08-26, 2023-09-09 to 2023-10-21, 2023-11-04 to 2023-12-30, 2024-01-13 to 2024-03-30 "
22814 , US ," 2021-09-10 to 2021-09-24, 2022-03-05 to 2022-04-02 "
2987 , FR , 2021-04-23 to 2021-04-23 
25336 , ES , 2021-01-08 to 2021-05-07 
1000935 , IE ," 2021-11-12 to 2021-11-12, 2021-11-26 to 2022-02-26 "
20253 , AU ," 2021-08-13 to 2021-10-08, 2021-10-29 to 2021-12-03, 2021-12-17 to 2022-03-26, 2022-04-16 to 2022-07-02, 2022-07-16 to 2023-08-26 "
16018 , SG , 2021-02-12 to 2022-01-22 
1000734 , CN , 2021-02-05 to 2021-11-19 
24 , US , 2021-03-05 to 2021-03-12 
6945 , US , 2021-03-19 to 2021-04-16 
6946 , GB , 2021-03-19 to 2021-04-16 
1002092 , DE ," 2021-03-19 to 2021-04-30, 2021-05-14 to 2022-01-08, 2022-10-15 to 2023-01-14 "
1000720 , DE ," 2021-04-02 to 2021-04-16, 2021-04-30 to 2021-06-04, 2021-06-18 to 2021-07-23, 2021-08-06 to 2022-04-09, 2022-04-23 to 2023-05-13, 2023-05-27 to 2023-08-19, 2023-09-02 to 2024-03-30 "
6964 , US , 2021-04-16 to 2021-04-16 
21087 , US , 2021-09-24 to 2022-03-19 
29811 , CL ," 2021-05-07 to 2021-07-02, 2021-07-30 to 2021-09-03, 2021-09-17 to 2022-05-28 "
1002366 , US , 2021-08-06 to 2021-08-06 
10195 , CH , 2021-05-28 to 2021-05-28 
15181 , US ," 2021-06-18 to 2021-07-23, 2021-12-10 to 2022-12-10, 2022-12-31 to 2024-02-03 "
1002592 , DE ," 2021-06-25 to 2022-04-16, 2022-04-30 to 2022-04-30 "
1002570 , DE ," 2021-06-25 to 2022-10-15, 2022-11-26 to 2024-03-30 "
29833 , IE , 2021-08-27 to 2022-02-12 
1002888 , DE , 2021-09-17 to 2022-01-29 
1002920 , DE , 2021-09-24 to 2022-02-12 
13080 , CH , 2021-10-29 to 2022-04-30 
1003074 , DE , 2021-10-29 to 2021-12-31 
1003067 , MV , 2021-10-29 to 2022-12-10 
1003172 , US ," 2021-11-19 to 2022-05-07, 2022-05-21 to 2023-03-25, 2023-04-08 to 2024-03-30 "
52817 , NL , 2021-12-03 to 2021-12-10 
1002423 , DE , 2022-03-19 to 2024-03-30 
10502 , GB , 2022-04-09 to 2023-01-21 
2684 , RU ," 2022-05-07 to 2022-05-07, 2022-10-08 to 2022-10-29, 2022-12-10 to 2023-01-21 "
34874 , US ," 2022-05-07 to 2023-02-18, 2023-03-04 to 2023-08-12, 2023-08-26 to 2023-09-09 "
50145 , FR , 2022-11-12 to 2022-11-12 
53072 , US , 2022-10-01 to 2024-03-30 
54345 , CA ," 2022-10-01 to 2022-10-15, 2022-10-29 to 2022-11-05 "
1001218 , DE ," 2022-02-26 to 2022-05-14, 2022-09-17 to 2024-03-30 "
1001366 , FR , 2023-02-11 to 2023-04-15 
21438 , FR , 2022-08-13 to 2022-09-17 
30971 , RU , 2022-09-03 to 2022-10-01 
51203 , FR , 2022-11-12 to 2022-12-03 
53833 , FR , 2022-01-08 to 2022-01-08 
54570 , RU ," 2022-07-16 to 2022-07-16, 2022-10-15 to 2022-10-15, 2023-01-14 to 2023-01-14, 2023-06-24 to 2023-06-24 "
